Key,File,Line,Severity,Type,Rule,Message,Status
AZ_Qr4wus5KeDF11f9FJ,frontend/src/app/(public)/services/sea-freight/page.tsx,279,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4yAs5KeDF11f9Fi,frontend/src/app/(public)/solutions/page.tsx,3,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'CheckCircle2'.,OPEN
AZ_Qr4zss5KeDF11f9GJ,frontend/src/app/(public)/terms-of-service/page.tsx,86,MINOR,CODE_SMELL,typescript:S7723,Use `new Array()` instead of `Array()`.,OPEN
AZ_Qr4zss5KeDF11f9GK,frontend/src/app/(public)/terms-of-service/page.tsx,87,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr4yes5KeDF11f9Fn,frontend/src/app/(public)/track/page.tsx,4,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'Package'.,OPEN
AZ_Qr4yes5KeDF11f9Fo,frontend/src/app/(public)/track/page.tsx,4,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'Ship'.,OPEN
AZ_Qr4yes5KeDF11f9Fp,frontend/src/app/(public)/track/page.tsx,4,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'Truck'.,OPEN
AZ_Qr4yes5KeDF11f9Fq,frontend/src/app/(public)/track/page.tsx,4,MINOR,CODE_SMELL,typescript:S1128,Remove this unused import of 'MapPin'.,OPEN
AZ_Qr4yes5KeDF11f9Fr,frontend/src/app/(public)/track/page.tsx,53,MINOR,CODE_SMELL,typescript:S7723,Use `new Array()` instead of `Array()`.,OPEN
AZ_Qr4yes5KeDF11f9Fs,frontend/src/app/(public)/track/page.tsx,54,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr4yys5KeDF11f9F6,frontend/src/app/(public)/warehouse-network/page.tsx,33,MINOR,CODE_SMELL,typescript:S7723,Use `new Array()` instead of `Array()`.,OPEN
AZ_Qr4yys5KeDF11f9F7,frontend/src/app/(public)/warehouse-network/page.tsx,34,MAJOR,CODE_SMELL,typescript:S6479,Do not use Array index in keys,OPEN
AZ_Qr45Is5KeDF11f9KG,frontend/src/app/(support)/layout.tsx,9,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
